Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg
20,0.9801549630381942,0.0,0.4588632234622372,0.0,0.0,0.2878036373000863,0.943642842885317
40,0.9963462730666244,0.9682107175295188,0.8344345856144988,0.8798111837327524,0.0750938673341677,0.7507793254555124,0.9903645491664832
60,0.9966553751252174,0.946031746031746,0.8353221957040573,0.95185110256929,0.4782608695652174,0.8416242577991057,0.9924855703658818
80,0.9968186428191516,0.9477841158402808,0.8719894424282414,0.9177992314181272,0.672340425531915,0.8813463716075433,0.992934598517385
100,0.997029616423038,0.9786657636302066,0.9016769638128862,0.9135443895827282,0.7364217252396166,0.9054676917376951,0.9939309409341897
120,0.9973784525285568,0.9709202873759836,0.8456869597204342,0.9399827701732556,0.7561556791104052,0.902024829781727,0.9941094944222262
140,0.9980002372041538,0.9760072430964236,0.8787992495309568,0.971654983236818,0.8041697691734923,0.9257262964483688,0.9957027748778806
160,0.9982871739360016,0.9761904761904762,0.9325472516039536,0.9537277537277538,0.8196721311475409,0.9360849573211452,0.9962281866605984
180,0.9977964690646722,0.9703479914960276,0.8529677613739078,0.9779788838612368,0.8703703703703705,0.933892295233243,0.9954517678220256
200,0.9979812295547994,0.9812471757794848,0.8758344459279039,0.9705242334322454,0.8429985855728429,0.9337171340534554,0.995807016542508
220,0.9987215545896192,0.9736607142857144,0.928411247196826,0.9804912564439502,0.9203314212874442,0.9603232387607108,0.9972417436110608
240,0.9984739826413463,0.9804938550005636,0.931516545744116,0.975429484618458,0.8280621046578494,0.9427951945324666,0.9968237965436028
260,0.9986345556369104,0.979704162366701,0.9167516139993204,0.9762095161935224,0.8200423429781228,0.9382684382349156,0.9968234407490064
280,0.9981342605893097,0.9746510329424902,0.925105663567202,0.9626620236022442,0.8831835686777921,0.9487473098758076,0.9962881337505188
300,0.998709188173328,0.98327074086719,0.9381209691476382,0.977813797994124,0.8786610878661087,0.9553151568096778,0.9973099871544158
320,0.998795156860674,0.9807868252516012,0.9149142672274344,0.9836940409131336,0.92018779342723,0.9596756167360146,0.997338258778506
340,0.9991010146163478,0.9826615627111008,0.9464564200311903,0.9892280071813284,0.9349269588313412,0.9704747926742618,0.9980723466906544
360,0.9989658499575288,0.9839863713798978,0.9418604651162792,0.9880715705765408,0.8954802259887006,0.9616728966037892,0.9978046425984408
380,0.9989108659275956,0.9814210111473932,0.9315481171548116,0.988521808563729,0.9353806781829817,0.9671564961953022,0.9977251650690814
400,0.9989276652467854,0.9700345326946642,0.9350237717908082,0.9896049896049895,0.9358889623265038,0.9658959843327504,0.9976323711520538
420,0.9989837498968902,0.9820521503555704,0.9415772440810766,0.9884,0.932642487046632,0.968731126276034,0.9978877111634284
440,0.9978712124840424,0.98347294543808,0.942358540454786,0.923615590159403,0.9311897106109324,0.9557015998294488,0.9958138358213032
460,0.9988782617015451,0.9813538252909934,0.9427783522923132,0.9829871414441148,0.914442162902122,0.9640879487262176,0.9976574880302428
480,0.9986741758178256,0.9758737316798196,0.9093830334190232,0.9879398971925664,0.9414037347070188,0.9626549145632506,0.997221707727346
500,0.998985331021318,0.9730996763031587,0.940198159943383,0.9841675680991248,0.934201954397394,0.9661305379528756,0.9976876047663348
520,0.9986247790412368,0.9667605633802816,0.934861907243356,0.9758375634517767,0.9103078982597056,0.9572785422752714,0.997013406318492
540,0.998641346964987,0.9459693105684028,0.9426993441491198,0.9894422310756972,0.9364380113278792,0.9626380488172172,0.99709054067455
560,0.9990581148110208,0.9745462846706998,0.9446558284330682,0.9904799682665608,0.9399744572158364,0.9697429306794372,0.9979332185987584
580,0.9987077693921236,0.9814084507042254,0.951219512195122,0.963943934267762,0.9381107491856676,0.9666780831489804,0.9973271201938632
600,0.998722245945398,0.977767746304029,0.9530786673643816,0.9634736083959256,0.9366286438529784,0.9659341823725424,0.9972960730794992
620,0.9984342586842488,0.97712819368515,0.9444444444444444,0.9644611383993064,0.8924731182795699,0.955388230698544,0.9968398438940912
640,0.998916150999797,0.979536152796726,0.944051230198854,0.9859015091342336,0.9151138716356108,0.9647037829530444,0.9977281089851984
660,0.9990584502850208,0.9772831574116566,0.951969592259848,0.990093065145602,0.9189189189189187,0.9674646368042094,0.9979819151575716
680,0.999113959347729,0.9792728508324836,0.9488309047780412,0.9926324173636,0.940581542351454,0.9720863349346616,0.9981271380982382
700,0.9990698165361552,0.9784650630011456,0.9395557086275186,0.9906,0.9466237942122186,0.9708628764754076,0.9979703628587272
720,0.9991553608193,0.9818679438932604,0.9514266304347828,0.9921244143156216,0.944871794871795,0.973889228866952,0.9982294267631318
740,0.9991440121256702,0.979392007286804,0.9541348158443363,0.9923176693604708,0.9462783171521036,0.9742533643538768,0.9982153483331714
760,0.9989883369943542,0.9790289491679964,0.9214250854075158,0.9913320713360568,0.9458577951728636,0.9673264476157574,0.997742816710488
780,0.9991539218936316,0.982071485668608,0.9217144881331916,0.99122106943336,0.865868263473054,0.9520058457203692,0.9977504880823348
800,0.9992609090159202,0.9845529371969782,0.932620320855615,0.9915649498858788,0.8649592549476136,0.9545916743804012,0.9979915668024376
820,0.999161749369662,0.9800850302081004,0.9292644205327216,0.9911750123946456,0.8735362997658079,0.9546445024541874,0.9978176935867424
840,0.99918340413247,0.9830241708825184,0.9260978222063548,0.992248062015504,0.8757396449704142,0.9552586208414524,0.9978728427857074
860,0.9988149898828524,0.9813509210825564,0.9063054346073214,0.9870520927431496,0.9232736572890028,0.9593594191209764,0.9973467573923844
880,0.99919368535261,0.9845102505694762,0.944513826940232,0.992526158445441,0.9149902660609992,0.9671468374737516,0.9981731502514248
900,0.9992693542774111,0.9845454545454544,0.9544347826086956,0.993029277036447,0.9400921658986174,0.9742742068733252,0.9984066765575752
920,0.9992096061726622,0.9824123453988428,0.945754716981132,0.9920619170470332,0.9503184713375796,0.97395141138745,0.9982490035469032
940,0.9988675308209908,0.9814856626778056,0.9140168721609344,0.9918586179507546,0.9529860228716646,0.96784294129643,0.9976188497514776
960,0.9992692433947356,0.9858709166949248,0.9532775453277544,0.992346685220157,0.9531751122514432,0.9767879005778032,0.998435410983862
980,0.9991289169864488,0.9753513015434232,0.9388507287652872,0.9919571045576407,0.9551282051282052,0.972083251396201,0.9980191972363944
1000,0.999180037121056,0.9765448804691024,0.9603325827126278,0.991855383392928,0.950943396226415,0.9757712559844258,0.9982711369934189
1020,0.99920996336803,0.9773952954675846,0.9512610770279482,0.9916067146282972,0.9516971279373369,0.9742340356858394,0.9982259745888884
1040,0.9990465696301084,0.9784601283226396,0.9364673820473512,0.9924332935085624,0.945125887669464,0.9703066522356252,0.997945080342481
1059,0.9991374035351612,0.9798060467769536,0.9495652173913044,0.9925321119187492,0.9505459216441876,0.9743173402532712,0.9981864778231152
