Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg,confidence,eval_size
20,0.9841333231908312,0.5175855513307984,0.5689455388180765,0.142176330420969,0.4911699779249449,0.540802144337124,0.9566277597843962,0.9630242300148624,0
40,0.995190510125494,0.7126686307954722,0.6888279643591501,0.8564694791421165,0.8842575362858207,0.8274828241416106,0.9842357004923062,0.9770200400417804,0
60,0.9971130939074786,0.8175030387220004,0.7732854147948488,0.915811088295688,0.9365628604382932,0.8880550992316618,0.9899911780972304,0.9816096394948258,0
80,0.9961298460538764,0.7743819349815068,0.8094327597195666,0.9204797867614394,0.9376498800959232,0.8876148415224625,0.9887903427670612,0.9816351134039664,0
100,0.9979699060921968,0.872366790582404,0.829145728643216,0.9565423889812396,0.9486356340288924,0.9209320896655898,0.992999504722175,0.9837650011972155,0
120,0.9977926071478698,0.8632478632478632,0.8467933491686461,0.9637935061901426,0.9411287048315062,0.9225512061172056,0.9929085130567344,0.9872132098465926,0
140,0.9976851261383056,0.8357533471619838,0.8524209915917657,0.9693194925028836,0.9597449182941412,0.922984775137816,0.992614430082417,0.9880790252915298,0
160,0.9986717328139468,0.8853132488873672,0.8569753810082065,0.9733021077283373,0.9680766161213088,0.9364678173118334,0.9945708574514042,0.9892669100878267,0
180,0.9984722675002078,0.8959754433833562,0.8342956120092379,0.945341889798628,0.9634684865515856,0.9275107398486032,0.993908554923058,0.989929171695382,0
200,0.99875422445681,0.870199146514936,0.8237986270022883,0.9691889442682374,0.9573820395738204,0.9238645963632184,0.9938817105817797,0.9904986771435126,0
220,0.9986995849535272,0.8882383330463234,0.8419564602770709,0.981166743224621,0.9783889980353634,0.9376900239073812,0.994662561766078,0.990841044916232,0
240,0.9983749181871876,0.8769923769923771,0.8351126927639383,0.9843245735361916,0.9718588981371384,0.9333326919233668,0.9940748927909672,0.991142096757042,0
260,0.9982600589345176,0.877333798638981,0.8351851851851851,0.9639094373458869,0.9706916764361078,0.9290760313081357,0.9936960217950962,0.9914044886383336,0
280,0.998557357794417,0.8706804417527609,0.8356973995271868,0.9882244285384436,0.974000776096236,0.9334320807418088,0.9942142701236528,0.9921210212865516,0
300,0.9990576374491684,0.9156344158018078,0.8481203007518798,0.982367758186398,0.9709279171644764,0.943221605870746,0.9954998841085112,0.9925249195929756,0
320,0.999160197848446,0.9200273410799726,0.8567173071194518,0.98977219897722,0.979527559055118,0.9490409208160416,0.9959327426046704,0.9928141697525414,0
340,0.9991377162894974,0.906952611553096,0.8504483656349435,0.9882189882189883,0.9786561264822136,0.9446827616357476,0.9955897269988012,0.9930420283342576,0
360,0.9983985197473362,0.8960495175678136,0.868057596238613,0.9877626414223044,0.9838136596920648,0.9468163869336264,0.9949309402195958,0.9927298504373392,0
380,0.9987551390413932,0.8991507430997877,0.8576409064497384,0.98887859128823,0.9777954004758128,0.9444441560709924,0.9951745163513844,0.9931656199405368,0
400,0.9984207453443892,0.877885331347729,0.842134674490081,0.9898148148148148,0.9752988047808764,0.936710874155578,0.9943109693324448,0.9931759079237892,0
420,0.9986198083067092,0.8926553672316384,0.8549019607843137,0.9912037037037038,0.9848071679002728,0.9444376015853276,0.9949886443818406,0.9936270496537806,0
440,0.9988819605939026,0.9077966101694916,0.8670998227997637,0.9869055823569952,0.9806553493880772,0.9482678650616462,0.9955457128349658,0.993804678677899,0
460,0.9988604697928736,0.9161132471163927,0.8641033167009099,0.9880073800738008,0.9611021069692058,0.9456373041306368,0.9954969746561716,0.993738136065398,0
480,0.9988586847060554,0.9228389757690324,0.84789644012945,0.9891329479768788,0.9824970828471412,0.9482448262857116,0.9956103183632686,0.9940264162040656,0
500,0.9988747018919074,0.9035885563089134,0.8647092688543466,0.9893715341959334,0.9832358674463936,0.9479559857394988,0.9954921766226784,0.9941449419725048,0
520,0.9985193883542236,0.8932454108002138,0.8726942848503174,0.9880404783808648,0.9859922178988328,0.9476983560568903,0.9950701864269452,0.9941853564479302,0
540,0.9984243512833708,0.9204188481675392,0.8861929520508377,0.9458388375165124,0.9772989611388996,0.9456347900314318,0.994977191694944,0.9945167477563446,0
560,0.9985698506643172,0.9143372407574392,0.8918996829057366,0.9758211678832116,0.9875389408099688,0.9536333766041348,0.9955470967787984,0.99452722808081,0
580,0.9990353964776,0.9297084600250404,0.890240530826652,0.9796571428571428,0.9917808219178084,0.9580844704208488,0.9963181406886348,0.9946557497973908,0
600,0.9985891575802456,0.904899135446686,0.889900426742532,0.9853997682502896,0.9898039215686276,0.9537184819176762,0.9955241043903102,0.9947046372454944,0
620,0.9980021800211608,0.9234837799717912,0.892661870503597,0.9206756467821252,0.9933463796477496,0.9456339713852848,0.9944960456546064,0.9946866545945776,0
640,0.9985827917725316,0.8991087344028521,0.8895972181976239,0.9866853538892782,0.9791183294663576,0.9506184855457288,0.995349089904344,0.994693749134838,0
660,0.9989368732580524,0.9197158081705152,0.8956248212753789,0.991884998840714,0.9917743830787308,0.9595873769246784,0.9962732566920292,0.9947115591590427,0
669,0.9991536763977912,0.9168081494057724,0.8758600059826503,0.9923451635351426,0.992569417285882,0.9553472825214476,0.9962205212597056,0.9947115591590427,0