Trained Records Size,O,PER,MISC,ORG,LOC,macro avg,weighted avg,confidence,eval_size
1,0.9316044380125422,0.0007383479464697,0.0006017752369489,0.0092468307233407,0.0021095334685598,0.1888601850775723,0.8226354842749559,,0
3,0.937738154050007,0.0,0.0,0.0,0.0,0.1875476308100014,0.8278117574435703,,0
5,0.9377388839952512,0.0,0.0,0.0,0.0011550202128537,0.1877787808416209,0.8278627656507535,,0
7,0.937738154050007,0.0,0.0,0.0,0.0,0.1875476308100014,0.8278117574435703,,0
10,0.937738154050007,0.0,0.0,0.0,0.0,0.1875476308100014,0.8278117574435703,,0
13,0.9377992079844968,0.0,0.0,0.0,0.005606397889356,0.1886811211747706,0.8281101172956892,,0
17,0.9377597015897088,0.0,0.0,0.0,0.0006612116703859,0.1876841826520189,0.8278596107336745,,0
22,0.937738154050007,0.0,0.0,0.0,0.0,0.1875476308100014,0.8278117574435703,,0
27,0.9377597015897088,0.0016722408026755,0.0,0.0,0.0003306604943374,0.1879525205773443,0.8279100296921383,,0
33,0.937784841637624,0.0042671614100185,0.0,0.0,0.0,0.1884104006095285,0.8280184089804281,,0
40,0.9411226592048216,0.1256281407035175,0.0,0.0,0.1476885828856775,0.2428878765588033,0.8421099440167731,,0
49,0.947384307002914,0.0939989378651088,0.0,0.0019150973507819,0.3665366891173343,0.2819670062672278,0.8559754791222647,,0
59,0.9661515689405769,0.5800075065682472,0.0049955921245959,0.0025641025641025,0.6042792122165979,0.431599596482824,0.9018771995090976,,0
71,0.939176594226801,0.067982062780269,0.0,0.0006435006435006,0.0444942381562099,0.2104592791613561,0.8336645733322879,0.9211165295958252,0
85,0.9727909289834892,0.7492391304347825,0.0108991825613079,0.0,0.5372473693001504,0.454035322255946,0.911487354950502,0.8800361292001514,0
101,0.9829016254819218,0.6388905710652214,0.0132890365448504,0.0,0.5387050933659095,0.4347572652915806,0.916254717910964,0.9060927387312382,0
120,0.9848110797911854,0.6874532626719121,0.0006095702529716,0.0006435006435006,0.6982166159199651,0.4743468058559069,0.9264858283254914,0.9486219327131064,0
142,0.9877465964460458,0.8567928354173707,0.0069855732725892,0.0259247549794498,0.7132360550553659,0.5181371630341643,0.9367313700329992,0.946455423199117,0
168,0.9767059400060631,0.775459221160911,0.1439797923098512,0.4577259475218659,0.6864612631040654,0.6080664328205513,0.9307407479160282,0.946455423199117,0
199,0.9809510225259586,0.8972916846932596,0.5109269027882442,0.5711889988260943,0.6915314855026184,0.730378018867235,0.949381842760708,0.9406421206664236,0
235,0.9831643197774008,0.9112095702259636,0.3700290979631426,0.5992380952380952,0.7573481078035496,0.7241978382016303,0.9517271474575768,0.943672884948712,0
277,0.989453931776504,0.9074517660380644,0.4133145142319454,0.6715678919729932,0.8181480411179457,0.7599872290274906,0.9616187788906602,0.9509312662730904,0
326,0.9896901771258042,0.7413757056240853,0.2502623294858342,0.5409993593850096,0.7252218378703564,0.6495098818982179,0.9460179449214968,0.9533014427515198,0
384,0.9895951105212276,0.9052416411154912,0.5956148100554173,0.5499251657045113,0.7777508230809218,0.7636255100955138,0.9628450477693412,0.9433490314156596,0
452,0.9900585319724786,0.9280203322138512,0.6380640014183139,0.6226160662685416,0.7993277048155097,0.795617327337739,0.9668962533158824,0.9577699634443688,0
532,0.991581456060966,0.927277547053106,0.6539542010726144,0.668643928159499,0.8106315353079367,0.8104177335308244,0.9695961174080234,0.9612849467212176,0
626,0.9923584648607322,0.9389038224976082,0.580691214086015,0.1999431979551263,0.7817347185310461,0.6987262835861057,0.9624901002820896,0.960283106466,0
736,0.9918162516098252,0.9392646391284613,0.7024476958840421,0.5868561278863232,0.7985320410275714,0.8037833511072445,0.9699712752142288,0.962525477867726,0
865,0.993205780582129,0.9463296560070756,0.7669964889881902,0.697893087236636,0.8649173135335809,0.8538684652695222,0.9771368200415262,0.962525477867726,0
1016,0.9921330143521252,0.9393868476480224,0.7060587353382133,0.6513569937369519,0.8344597413433459,0.8246790664837318,0.9726301324670656,0.966660648809268,0
1194,0.99251595906788,0.9454898515881456,0.7536720443053215,0.3877654196157735,0.8134910646866348,0.778586867852751,0.9704639769050848,0.96910889582329,0
1402,0.9920491425646276,0.9062141252807586,0.6549763033175355,0.7286439448875996,0.8136599193869868,0.8191086870875017,0.9700206503288664,0.971078853123152,0
1646,0.9935824977953202,0.948109640831758,0.7538173437049842,0.7424892703862661,0.8454918575400503,0.8566981220516758,0.9768791999268064,0.9729780848839368,0
1933,0.9929959666358492,0.951997754280902,0.7708850289495451,0.7188081936685288,0.8654080645839466,0.8600190016237544,0.977518988714454,0.974450317398559,0
2269,0.9937599667198224,0.9293380603176143,0.739679412554849,0.7520443925233645,0.8420889268254831,0.8513821517882267,0.9759323825185902,0.9753554348822644,0
2663,0.9942137133769652,0.953866146848603,0.7848672122933021,0.7454132448016774,0.8767615473671604,0.8710243729375415,0.9797901667702874,0.977035457166334,0
3126,0.9944191987724278,0.9493306061732988,0.7943842759727237,0.7311767198756887,0.882156306859053,0.8702934215306384,0.9800965671646336,0.9785785327938046,0
3669,0.9941306495808334,0.954998377902396,0.8068642249940415,0.6312525837122778,0.8654487050793014,0.85053890825377,0.9785089362539692,0.9798209253213176,0
4306,0.9937264742785444,0.8922470433639947,0.7938931297709924,0.735552872175263,0.8188725667559158,0.8468584172689422,0.9745498906868576,0.9811249021808436,0
5053,0.9929686912745542,0.9480201450815506,0.772371231901258,0.7375247703116555,0.8771914368778081,0.8656152550893653,0.9780993016854737,0.9820347115772852,0
5929,0.9942917000381096,0.9436849253055682,0.8022315653298835,0.7730968218773095,0.8749234135667396,0.877645685223522,0.9801048896564448,0.9830582843815552,0
6957,0.99412122853495,0.9234898147740772,0.7865094417415683,0.7656449553001278,0.8641865827162684,0.8667904046133984,0.9782479752585302,0.9837186706473736,0
8163,0.9940813432759694,0.9519457138900428,0.7986829727187206,0.7788119817227959,0.8868211947795299,0.8820686412774117,0.980738348363982,0.984513076057492,0
9578,0.9940074294811608,0.94456863908025,0.789913480736523,0.7518770735114371,0.885469073690441,0.8731671392999625,0.9798190334301592,0.985353133239504,0
11238,0.9939761615000277,0.949130414510188,0.7860246827742048,0.7737817219367896,0.8823032011274411,0.8770432363697301,0.9799836333780596,0.9857785643599156,0
13185,0.9944694166692148,0.9448596812861374,0.7978829485311038,0.725254730713246,0.8800131088443734,0.8684959772088151,0.979890518339112,0.9864683396802728,0
15469,0.9945642980158771,0.954431554524362,0.8064620355411956,0.7937730701332049,0.8956420103523125,0.8889745937133904,0.9819972448303169,0.9864683396802729,0